,Title,Abstract,Activity Code,Admin IC,Admin IC Long,Funding ICs,Agency,Appl Class Code,Appl Status Code,Appl Type Code,Active,Award Status,Appl ID,Grant Number,Full Grant Number,Serial Number,Suffix Code,Sub Project ID,Fiscal Year,Support Year,Record Index,toCurate2,isRemote,isDataGath,isIntervent,isClin,isRnD,isWear,isTele,isMobile,isHome
2649,Neural Mechanisms of Vibroacoustically Augmented Breath Focused Mindfulness for Dissociative Traumatized People,"Dissociation is a multifaceted, transdiagnostic, and disabling phenomenon that involves detachment from the self or surroundings. It is prevalent in traumatized people with posttraumatic stress disorder (PTSD), occurs in other disorders including depression, anxiety, and schizophrenia, and is a barrier to recovery in first-line treatments. Dissociation is characterized by attentional impairments and disruptions in body awareness, or interoception. Mindfulness-based meditative practices, including breath-focused mindfulness meditation (BFM), are designed to enhance attentional control through focused awareness on interoceptive cues (breath). However, this is a nearly impossible task for dissociative people, who experience disruptions in body agency and are unable to access or trust body signals. Exteroceptive feedback enhances interoceptive awareness and body agency in experimental studies and may similarly enhance attentional control with minimal cognitive effort. As such, the goal of this study is to address deficits in interoception and attentional control in dissociative traumatized patients via BFM augmented with exteroceptive feedback. This is delivered by a unique device that vibrates in concert with respiration, yielding non-ignorable mechanoreceptor reactivity to breathing. Using a stimulus-driven mechanism, our device is expected to enhance body agency and efficiently engage attention and interoception networks. We will recruit 200 traumatized people with clinically significant dissociation symptoms, divided in four equal groups to yield a 2x2 (breath-focused meditation or rest x with or without vibroacoustic stimulation) design. All participants will attend 8 sessions of their assigned intervention. We will administer attentional control and interoception tasks during fMRI pre- and post-intervention to examine: Aim 1) whether BFM with exteroceptive feedback engages attentional control and interoceptive networks to a significantly greater degree than the other treatment conditions from pre- to post- intervention. We will also examine: Aim 2) whether changes in neural network response correspond with changes in dissociation (and secondarily, other trauma-related problems) to a greater degree in BFM with exteroceptive feedback as compared to the other treatment conditions. The immediate impact of this research is to overcome neurobiological barriers to treatment response in dissociation using novel technology. The long-term impact will be to inform the development of publicly-disseminable devices that can augment current interventi ons.",R01,AT,NCCIH,AT,National Institutes of Health (NIH),G,5,1,No,Awarded,10137701,R01AT011267,R01AT011267-01,11267,,,2021,1,1704,Chris,FALSE,FALSE,TRUE,,,,,,
2690,Bilateral Cochlear Implants: Physiology and Psychophysics,"Bilateral cochlear implantation provides benefits over unilateral implantation for sound localization and speech reception in noise, yet binaural performance of bilateral cochlear implant (CI) users is still well below normal, especially in task involving interaural time differences (ITD), and especially in pre-lingually deaf subjects. The present collaboration between neurophysiologists and psychophysicists aims at gaining a basic understanding of the stimulus, neural, perceptual and developmental factors that influence ITD sensitivity with bilateral CIs in order to devise innovative stimulation and rehabilitation strateges that improve binaural performance. Psychophysical experiments in bilaterally-implanted human subjects will be conducted in parallel with single-unit recordings from the auditory midbrain in a novel, awake rabbit model of bilateral CIs that allows neural recordings over several months. Specific Aim 1 is to investigate whether the abnormalities in neural ITD sensitivity previously observed in neonatally deaf animals can be reversed by appropriate chronic electric stimulation through bilateral CIs. We will compare neural ITD sensitivity in neonatally-deafened rabbits that receive various types of chronic electric stimulation from an early age with the sensitivity in dea rabbits that receive minimal stimulation. Some of the rabbits will receive stimulation with an experimental strategy that was specifically designed to deliver ITD information effectively with bilateral CIs, and some rabbits will only receive unilateral stimulation as occurs during the perio of unilateral deafness between the two cochlear implantations when these are performed in separate operations. The combination of neonatal deafening, controlled electric stimulation through CIs and longitudinal neural recording in awake animals offers a powerful new approach for studying the developmental plasticity of the binaural system. Specific Aim 2 is to test a new approach for overcoming the severe degradation in ITD sensitivity observed at the high carrier pulse rates used in today's speech processors by introducing additional carrier pulses so as to create short interpulse intervals (IPIs). This approach is motivated by our finding that neurons that short IPIs in irregular pulse trains can restore firing and ITD sensitivity in neurons that ony respond to the onset of high-rate periodic pulse trains. Neural and perceptual ITD sensitivities will be compared with and without short IPIs for both simple pulse trains and modulated pulse trains resembling the current waveforms produced by CI processors with speech syllable inputs. Together, these aims will increase our basic understanding of how stimulation parameters and early auditory experience shape performance with bilateral CIs. They will likely lead to new processing strategies and rehabilitation procedures for bilateral CIs that work better in everyday acoustic environments with spatially separated sound sources, and that are adapted to the history of auditory experience and deprivation of individual deaf patients.",R01,DC,NIDCD,DC,National Institutes of Health (NIH),G,5,5,No,Awarded,8811926,R01DC005775,R01DC005775-12,5775,,,2015,12,1746,Leonie,,,,,,,,,
2707,Development of a Wearable Fluorescence Imaging Device for Intraoperative Identification of Brain Tumors,"Approximately 700,000 people in the United States have been diagnosed with a primary brain tumor. Of these, malignant gliomas (MGs) account for approximately 40% of all intracranial tumors, with an overall patient survival rate of only ~34%. More than any other cancer, brain cancer has lasting physical, cognitive, and psychological impacts on a patient's life, and the highest per-patient initial cost of care. Surgical resection remains the cornerstone of therapy and the extent of resection correlates with patient survival. A limiting factor for resection, however, is the surgeon's ability to differentiate the tumor from normal tissue. In pursuit of intraoperative guidance for the safe and maximal resection, fluorescence-guided surgery has emerged as an advanced adjunctive technique. The uses of surgical operative microscopes with FDA-approved fluorescein dye have shown significantly higher tumor resection rates (75-100%) in MGs than conventional surgeries (30-55%). However, most clinical-grade fluorescence microscopes (e.g., PENTERO® 900 microscope with YELLOW 560™ fluorescein module, Carl Zeiss Meditec AG) are hampered by high costs (~$330K), limited portability (~800 lbs), and lack of operation flexibility. Many surgeons prefer, and continue to use wearable surgical eye loupes, which allow for convenient and fast operation, but are not capable of fluorescence visualization. To overcome limitations of currently available surgical imaging techniques, we have preliminarily demonstrated safety and feasibility of an innovative wearable fluorescence prototype that piggybacks on eye loupes for identifying MGs (Pending Patent: PCT/US2018/41418). In this Phase-I study, we will collaborate with a startup company (Bioptics Technology, LLC) to miniaturize, optimize, and validate this low-cost device (~$8K) with user experience (e.g., ease of wearing, alignment, and operation) for easy and accurate fluorescent identification of MGs during resection. Compact LEDs and a small CMOS camera with dedicated optical filters will be optically integrated into different functional modules for florescence excitation and detection. These lightweight, compact, and inexpensive modules will be attached to the eye loupes to form an integrated wearable device, allowing for real-time ocular observation and video recording of fluorescence and color images. The device operating system will be optimized to be ""up and running"" so that neurosurgeons can easily use it without much specialized training. To ensure appropriate performance and sufficient accuracy, this device will be first optimized and calibrated using tumor-simulating phantoms against the PENTERO® 900 microscope with YELLOW 560™ (Aim 1), and then validated in patients with MGs against histopathological analyses of biopsied samples taken from the surgical tumor margin (Aim 2). The potential market size of this device would be tens of millions of dollars in the US alone, providing a significant opportunity for commercialization. Ultimately, this affordable, wearable, and ergonomic device will significantly increase the ability of more surgeons to conduct fast and thorough operations, and thus improve surgical outcomes and reduce the burden on healthcare systems.",R41,CA,NCI,CA,National Institutes of Health (NIH),G,5,1,No,Awarded,9841308,R41CA243600,R41CA243600-01,243600,,,2019,1,1764,Chris,,,,,,,,,
2716,Walk with Me (WWM) for Perinatal Grief,"The loss of a child during pregnancy and the early postpartum period causes significant psychological distress for many women and their partners and may lead to long-lasting psychological impairment and disorder such as posttraumatic stress, prolonged grief, and suicide. Approximately 24,000 babies in the United States are stillborn each year and over 14,000 infants die within the first 30 days of life. About 15% of parents will experience a miscarriage and more than 30% of women who experience a miscarriage meet the diagnostic criteria for posttraumatic stress disorder. Currently, there are limited efficacious and accessible treatments to attenuate the effects of trauma and intense grief that are common to perinatal loss. Prior research has found online cognitive behavioral therapy (CBT) to be effective for reducing perinatal grief and post-traumatic stress disorder symptoms. However, there is a need for programs that provide support beyond cognitive reappraisal to offer concrete strategies to reduce distress and increase availability for attachment to subsequent pregnancies including mindfulness practice and the inclusion of guiding principles for working with parents who have experienced perinatal loss. Using guiding principles of grief and infusing practical strategies to reduce distress for bereaved parents such as facilitating partner engagement and examples of grief rituals are be important additions to components of cognitive behavioral therapy for this population. Additionally, bereaved parents may experience damaging communication from health care professionals (HCPs) who lack sufficient training. There are no readily available tools that blend HCP training with direct support for bereaved parents. The goal of this phase I project is to create a prototype of a mobile application that demonstrates promise of effectiveness for reducing parent distress (traumatic stress and intensity of grief) following a perinatal loss. We will accomplish this goal by accomplishing our three specific aims: Specific Aim 1: Use an iterative formative development process to develop training and modules for grief processing and healing activities leveraging cognitive behavioral therapy and guiding principles for working with parents who have experienced perinatal loss. Specific Aim 2: Develop prototype featuring core components of the application. Specifically, HCP training and four key modules for bereaved parents including two on normalization of grief, one on mindfulness to facilitate coping with trauma and distress symptoms and one using CBT strategies to manage negative thoughts. Specific Aim 3: Evaluate the acceptability, usability, and effectiveness of Walk with Me by conducting a mixed-methods program evaluation with HCPs and bereaved parents to optimize the successful use of Walk with Me.",R43,MH,NIMH,MH,National Institutes of Health (NIH),G,5,1,Yes,Awarded,10322941,R43MH126788,R43MH126788-01A1,126788,A1,,2021,1,1773,Pablo,FALSE,TRUE,FALSE,,,,,,
2729,Endocrine and metabolic diseases in rural South Africa-establishing burden and improving detection,"This award will support the career development and training of Dr Alisha Wade, an endocrinologist and clinician scientist with an interest in endocrine and metabolic diseases in lower and middle income countries with a high prevalence of HIV/AIDS. Endocrine and metabolic disorders (EMDs) are significant contributors to morbidity and mortality worldwide, but little is known about their relative prevalence in rural South Africa, where multiple independent risk factors such as HIV/AIDS, antiretroviral therapy, increasing life expectancy in adulthood and nutritional transitions interact in ways that likely make the relative burden of EMDs different from high income countries. Early detection and treatment of EMDs would reduce morbidity and mortality, but broad-based population screening in primary care is impractical in low resource settings. Integrating targeted case finding in those at highest risk for key EMDs into routine primary care may prove cost-effective. The long-term objective of this work to identify those individuals in South Africa at highest risk of key EMDs and their sequelae and to develop a cost-effective, pragmatic strategy for their long-term identification and management. The specific aims of the project are to (1) determine the relative prevalence and risk factors of key EMDs in a population based sample of 1630 adults aged 40 years and over in a Black South African population with high prevalence of HIV and HAART use, (2) determine the feasibility of implementing use of a mobile application in primary care to support integration of case-finding for common endocrine and metabolic disorders and (3) determine the cost effectiveness of integrating a case-finding approach to identifying EMDs into primary care. These studies will be nested within the NIA-funded HAALSI project and the NHGRI-funded AWI-Gen project. This research will allow the applicant to develop skills in advanced biostatistics and epidemiology, development and evaluation of complex interventions and health economics, with an emphasis on cost effectiveness analysis, to support her long term career objective of become an independent clinician scientist investigating the evolution of EMDs against the backdrop of high prevalence of HIV/AIDS in lower and middle income countries and developing cost-effective interventions for their detection and management. The applicant will be mentored primarily by Dr. Anne Cappola at the University of Pennsylvania and Dr. Stephen Tollman at the University of the Witwatersrand, experts in the endocrinology of aging and aging in LMICs respectively. She will be well supported by the facilities at the University of the Witwatersrand, one of the leading African research institutes. This award will facilitate the applicant's transition to a leading independent scientist in endocrinology in LMICs.",K43,TW,FIC,TW,National Institutes of Health (NIH),G,5,1,No,Awarded,9402126,K43TW010698,K43TW010698-01,10698,,,2017,1,1786,Audie,FALSE,FALSE,TRUE,,,,,,
2730,Biomimetic Wearable Sensors for Alcohol Monitoring,"According to the 2015 National Survey of Drug Use and Health (NSDUH), 15.1 million adults had alcohol use disorder in the United States. Alcoholism has been identified as an important risk factor for illness, disability, and mortality, carrying a huge economic and societal burden. Real-time, accurate and discreet devices for the assessment of Blood Alcohol Concentration (BAC) are essential to empower medical research with reliable reliable means to monitor alcohol behavior, as well as for effective personal self-assessment. Measurement of ethanol perspired through the skin by means of wearable devices is of particular interest for the possibility to perform discreet and unobtrusive monitoring of BAC, but available devices are still lacking reliability, accuracy and sensitivity. In this context, Bioinspira, Inc. has developed a versatile bacteriophage-based, colorimetric sensor platform technology for gas sensing. The novel, in-house developed technology uses a self-assembling bacteriophage sensor array (M13 bacteriophage) that can be genetically engineered to bind to specific gas molecules and change its color pattern based on type of gas and concentration. By leveraging this innovative technology, through this SBIR phase I study Bioinspira will assess the feasibility of realizing a wearable Biomimetic Sensor for Transdermal Alcohol Monitoring (BiosTAM) for real-time monitoring of ethanol vapor that evaporates through the skin. Preliminary laboratory data showed the ability of BioInspira's platform technology to detect ethanol. The development of a phage-based ethanol sensor with high will fill a technological gap in alcohol behavior monitoring, enabling more comprehensive and detailed medical studies, and will offer the possibility to monitor and manage personal alcohol use disorder. In SBIR Phase I, the technical feasibility of detecting ethanol vapor selectively, sensitively and real-time will be assessed. To this extent, the following R&D activities will be conducted: 1. Production and evaluation of gas phage array candidates for the selective and sensitive detection of ethanol vapor; 2. Calibration of the best performing phage sensor candidate for the detection of ethanol concentration under different temperature and relative humidity conditions. The results obtained will be preparatory for a SBIR Phase II, where the clinical trials will be performed for the correlation of transdermal alcohol measurements with BAC. Keywords: Alcoholism, Alcohol abuse, wearable biosensor, phage, perspired ethanol, alcohol vapor.",R43,AA,NIAAA,AA,National Institutes of Health (NIH),G,5,1,Yes,Awarded,10154436,R43AA028746,R43AA028746-01A1,28746,A1,,2021,1,1787,Chris,TRUE,FALSE,FALSE,,,,,,
2738,User-centric development of closed-loop therapy for opioid overdose,"This Fast-Track SBIR proposal will help make significant inroads towards commercializing Rescue Biomedical LLC's automatic antidote delivery device (A2D2) in order to combat opioid overdose-related deaths. Despite increasing awareness of the dangers associated with opioids, there were more than 70,000 deaths due to opioid overdose in 2020. In addition, the rising popularity of illegal synthetic opioids and social isolation due to the ongoing COVID-19 pandemic is fueling a third wave of opioid-related deaths. Since these illegal drugs are orders of magnitude more potent than morphine and can cause respiratory failure in minutes, there is very little time for users to identify and respond to the symptoms of overdose with antidotes like naloxone. The proposed A2D2 is a low-cost and simple subcutaneous drug delivery capsule that can automatically detect opioid- induced respiratory failure and release naloxone in a closed-loop manner. It will extend the lifetime of overdosed patients so that they can receive proper medical care. In this Fast-Track SBIR proposal, Rescue Biomedical seeks to validate its hypothesis that there is a significant demand for a wearable-implantable combinational device for automatically detecting and treating opioid overdose. In Phase I, Rescue Biomedical will work with its collaborator at Indiana University School of Medicine to quantify users' willingness to use wearable and implantable devices. Furthermore, clinicians and other stakeholders (e.g., Licensed Chemical Dependency Counselor) will be identified to understand their willingness to recommend advanced harm reduction devices. Finally, Rescue Biomedical will leverage the cohort of these stakeholders to validate the overall system design to ensure high compliance and usability. In Phase II, efforts will be focused on technical integration and performing a pivotal pre-clinical experiment to demonstrate the closed-loop capabilities to reverse the effects of opioid overdose. Moreover, Rescue Biomedical will focus efforts for commercialization including regulatory submissions for IND/IDE submission and performing design verification and validation based on user feedback.",R44,DA,NIDA,DA,National Institutes of Health (NIH),G,5,1,Yes,Awarded,10485478,R44DA056277,R44DA056277-01,56277,,,2022,1,1795,Audie,TRUE,FALSE,TRUE,,,,,,
2748,A Gait and Path Tortuosity System for Monitoring Cognitive Decline from Daily Functions in Individuals with Alzheimer's Disease and/or Alzheimer's Disease Related Dementias (AD/ADRD),"Proposed is a sensing system that unobtrusively measures and reports gait properties which are correlated to accepted measures of cognitive decline. Significance: It is estimated that as of 2018 over 5.7 million Americans are afflicted with AD. Due to the aging demographics, this number is projected to double by 2050 at an estimated annual direct cost of $1.1 trillion. Measures of cognitive decline can help to inform family members, caregivers, and health-care providers about the functional status and needs of independent-living older individuals. The need to improve the assessment of cognitive changes affecting daily functions has been identified by the NIH and National Academy of Medicine (NAM). Many ADLs such as shopping, housecleaning, and bathing are difficult to objectively measure. Measuring these ADLs is generally manually intensive often requiring direct supervision by a caregiver. The changing demographics of the elderly mean now more elderly adults will no longer have the frequent interaction with caregivers required to accurately make these measures. Hypothesis: A system capable of measuring and reporting gait parameters which are correlated to accepted measures of cognitive decline can decrease caregivers' burden and increase quality of life for individuals with AD. Specific Aims: To prove the feasibility of the proposed system in Phase I IDL will 1) Generate user- centric requirements through focus group discussions; 2) Develop prototype system electronics and mechanical packaging; 3) Perform laboratory study of prototype functionality; and 4) Evaluate prototype performance through pilot human study. The overall Phase I effort will demonstrate the ability of the proposed system to accurately measure requisite gait measures and demonstrate the usability of the system by the target population.",R43,AG,NIA,AG,National Institutes of Health (NIH),G,5,1,Yes,Awarded,9778069,R43AG063679,R43AG063679-01,63679,,,2019,1,1805,Pablo,FALSE,TRUE,FALSE,,,,,,
2750,Rehabilitation at home using mobile health in older adults after hospitalization for ischemic heart disease (RESILIENT),"Participation in ambulatory cardiac rehabilitation (CR) by patients with ischemic heart disease (IHD) remains low. By recent estimates, fewer than two thirds of eligible patients are referred, and fewer than half of those referred participate. Even among those referred, multiple barriers to participation include limited facilities, competing time demands, high out-of-pocket costs, and prolonged wait time. Barriers to CR are particularly high in older adults (age ≥70), due to factors such as physical impairments or transportation barriers, although these patients may simultaneously have the greatest potential to benefit. Mobile health-enabled CR (mHealth- CR) for IHD - which involves delivery of CR via portable electronic devices - has the potential to increase engagement by reducing participation barriers, but it remains largely untested outside of small studies in relatively healthy young persons. It is therefore unclear what proportion of older adults with IHD and barriers to traditional CR are able to engage with mHealth-CR, and whether mHealth-CR leads to better outcomes than usual care. Therefore, we propose RESILIENT: Rehabilitation at home using mobile health in older adults after hospitalization for ischemic heart disease. This is a prospective, multicenter, non-blinded randomized clinical trial (with blinded assessment of primary endpoint) to evaluate engagement and outcomes with mHealth-CR among older adults with IHD, identified at the time of acute myocardial infarction (AMI), percutaneous coronary intervention (PCI), or coronary artery bypass graft (CABG). The trial will be conducted at two academic medical centers: NYU School of Medicine and Yale School of Medicine, which collectively serve a diverse patient population and have a track record of successfully recruiting older adults in clinical research studies. We will randomize 400 older adults with IHD to receive mHealth-CR (n=300) or usual care (n=100) for 3 months. Our intervention combines mHealth-CR software, delivered via a tablet device, with baseline counseling and weekly phone calls by an exercise therapist over 3 months. Intervention and usual care groups will also receive a standard referral to ambulatory CR in accordance with guidelines, as well as dynamic assessment of activities of daily living (ADLs). The primary efficacy endpoint is change in functional capacity, assessed by 6 minute walk distance. Secondary efficacy endpoints are goal attainment, health status, ADLs, hospital readmission, and death. The engagement endpoint is defined by weekly completion of mHealth-CR tasks. We hypothesize that mHealth-CR will improve a range of outcomes, and that distinct patterns of engagement will be discerned. The PI for this project (Dr. Dodson) is an Early Stage Investigator with a focus on cardiovascular outcomes research among older adults; additional investigators have a wide range of expertise in geriatrics, biostatistics, behavioral science, cardiac rehabilitation, and computer science. The study results could lead to new sustainable and resource-efficient CR strategies among older adults with IHD, and lay the groundwork for a subsequent large multi-center clinical trial.",R01,AG,NIA,AG,National Institutes of Health (NIH),G,5,1,No,Awarded,9704614,R01AG062520,R01AG062520-01,62520,,,2019,1,1807,Pablo,FALSE,TRUE,TRUE,,,,,,
2761,SCH: INT: AURA - Connecting Audio and Radio Sensing Systems to lmprove Care at Home,"An effective care transition from hospital to home is crucial to ensure optimal care for high-risk patients and to reduce the cost of avoidable readmissions that burdens the healthcare system. A common practice in technology-assisted care transition is to train and guide patients and family caregivers through the web and mobile phone-based systems for symptom reporting, vital signs monitoring, and providing feedback. Although effective, these systems have three major limitations: (a) the patient or caregiver has to actively measure and enter data into the system-which is error-prone, subjective, and often forgotten; (b) web or mobile-based interactions can be cumbersome and demanding-tasks like entering data, knowing health status, or getting and responding to an alert require typing and clicking through a series of forms/web pages; and (c) feedback from the system through messages and notifications is often ineffective and unnoticed. To overcome these limitations, this project employs a data-driven approach to develop a voice-enabled, context-aware, post-treatment self-care system in home settings. The proposed system will (a) monitor specific activities of a patient at home using advanced WiFi radio signal-based human activity recognition algorithms; (b) tailor natural language responses of voice assistants like Amazon Echo/Alexa based on the patient's location, activity, and health history; and (c) automate data-entry and reporting to reduce patient or caregiver burden. The system will be deployed in 40 colorectal and bladder cancer patients' homes for assessing usability, feasibility, and preliminary magnitude of benefits. The overarching goals of this project are aligned with the NLM's 10-year strategic plan for 2017-2027. Through automated collection, linking, curation, and modeling of voice and WiFi radio sensor data, this project will create an interconnected ecosystem of digital biomarkers that explain, influence, and predict health outcomes during care transition. By using low-cost voice assistants (less than $50) and ubiquitous home WiFi, it maximizes the dissemination and engagement of data-powered health to mass population. To foster the development of a data-ready workforce for the future, three Ph.D. students will work in this multidisciplinary project, a new mHealth course will be developed, and open science practices will be applied during the development, deployment, and dissemination phases of the project.",R01,LM,NLM,LM,National Institutes of Health (NIH),G,5,1,No,Awarded,9928253,R01LM013329,R01LM013329-01,13329,,,2019,1,1818,Leonie,,,,,,,,,
2775,Be Well at Work-Plus: Engaging low-wage workers in the design and implementation of a depression and physical activity intervention.,"Depression and physical inactivity are leading contributors to cardiometabolic diseases such as obesity, diabetes, and cardiovascular disease. Low-wage workers, who comprise one-third of all workers in the U.S. and are essential to many industries, are more likely to be physically inactive and to have cardiometabolic conditions and depression, yet they are half as likely as higher wage workers to utilize preventive care. Targeted workplace initiatives have been successful in improving employee health, but low-wage workers are difficult to engage, in part due to a high burden of social disadvantage (e.g., food and housing insecurity, time and financial constraints). Currently, to our knowledge, there are no workplace interventions for depression that specifically target low-wage workers and their unique social risk factors. This study was conceptualized using a planned adaptation approach that involves low-wage workers in the design of the intervention to increase engagement and feasibility in this population. The proposed study will adapt an evidence-based 8-session telephone-delivered depression intervention for working adults, Be Well at Work, and add critical enhancements for low-wage workers: assessment and referrals for social determinants of health, physical activity promotion, and personalized text message behavioral support via ecological momentary assessment and intervention. The adapted intervention, Be Well at Work-PLUS, will be developed and tested in three phases: (1) qualitative interviews with low-wage workers to understand social determinants of health, barriers and facilitators of engagement, and intervention preferences (Aim 1); (2) a single-arm pilot (N=10) with exit interviews to refine the intervention content and delivery (Aim 2); (3) a pilot randomized controlled trial comparing Be Well at Work-PLUS to a waitlist condition (N=60; Aim 3). This iterative process will yield results on feasibility, acceptability, and preliminary clinical outcomes of Be Well at Work-PLUS and provide data to apply for an R01 efficacy trial. To compliment these research aims, Dr. McCurley has designed a training plan to gain expertise in (1) implementation science, including planned adaptation of evidence-based interventions and participatory design methods for improving reach and engagement in low-income groups, (2) mobile health, specifically, text messaging for increased intervention feasibility and uptake; and (3) randomized controlled trial design. The career development plan involves regular mentorship with experts in implementation science, mobile health, randomized behavioral intervention trials, as well as didactic courses and workshops in these topics, dissemination of results through presentations and publications, and support for grant writing and additional skill development to advance Dr. McCurley's career as an independent behavioral scientist. This K23 proposal will position Dr. McCurley to become an independent investigator developing interventions that fuse technology and behavioral science to address depression, health behavior, social determinants of health, and cardiometabolic diseases in low-income populations.",K23,HL,NHLBI,HL,National Institutes of Health (NIH),G,5,1,No,Awarded,10191407,K23HL157763,K23HL157763-01,157763,,,2021,1,1832,Josh,TRUE,TRUE,FALSE,,,,,,
2782,A Patient-Centered Asthma Management Communication Intervention for Rural Latino Children,"K23 Abstract A Patient-Centered Asthma Management Communication Intervention for Rural Latino Children DESCRIPTION: Rural Latino children with asthma suffer high rates of uncontrolled asthma symptoms, emergency department visits, and repeat hospitalizations. This vulnerable population must negotiate micro and macro level challenges that impact asthma management, including language barriers, primary care access, parental time off from work, insurance coverage, distance from specialty sites, and documentation status. There are few proven interventions that address asthma management embedded within this unique context. Using a bio-ecological approach, we will determine the feasibility of a patient-centered collaborative program between rural Latino children with asthma and their families, school based nursing, and primary care providers, facilitated by the use of a smart phone based mobile application (mobile app) with a Spanish-language interface. We hypothesize that improving communication through a collaborative, patient-centered intervention will improve asthma management, empower the patient and family, decrease outcome disparities, and decrease direct and indirect costs. The specific aims of this study include: 1) Produce and validate a Spanish translation of an existing asthma management app and evaluate its usability with Latino parents of children with asthma; 2) Develop and evaluate a triadic, patient-centered asthma intervention preliminary protocol, facilitated by the bilingual mobile app validated in aim 1; and 3) Investigate the feasibility of the patient-centered asthma intervention from aim 2 using a wait list randomized control trial (RCT) to investigate the effects of the intervention on school days missed and medication adherence. The results of this study will be used to support a full scale randomized control trial R01 grant application in Year 4 of this award. The career development award will provide Dr. Estrada the mentoring and training needed to develop knowledge and skills in rural asthma disparities research, intervention development and program evaluation, and integration of technology- based interventions. At the close of the award, she will be positioned to design, implement, and evaluate research that will significantly impact rural asthma disparities.",K23,HL,NHLBI,HL,National Institutes of Health (NIH),G,5,1,No,Awarded,9385900,K23HL133596,K23HL133596-01A1,133596,A1,,2017,1,1839,Tom,FALSE,FALSE,TRUE,,,,,,
2786,Development of a Mobile Health Personalized Physiologic Analytics Tool for Pediatric Patients with Sepsis,"Sepsis, defined as life-threatening organ dysfunction caused by a dysregulated host response to infection, encompasses a continuum that ranges from sepsis to severe sepsis, septic shock, multiple organ dysfunction syndrome (MODS) and eventually death if untreated. Sepsis is the leading cause of child mortality worldwide, with most of these deaths occurring in low and middle-income countries (LMICs) yet few clinical tools have been developed for identifying, monitoring, or managing septic children in LMICs. There is immense potential for novel clinical tools that can help clinicians more rapidly identify children with advanced stages of sepsis (severe sepsis, septic shock and MODS), who are at highest risk for decompensation and death. Mobile health (mHealth) tools, wearable devices, and artificial intelligence techniques have rapidly proliferated for a multitude of medical applications and could serve to bridge the gap in care of critically ill patients in LMIC settings. By enabling the detection of subtle physiologic changes indicating clinical deterioration, these tools may allow clinicians to intervene earlier, better direct care, and allocate scarce resources, all without the need for advanced laboratory diagnostics or critical care infrastructure. Furthermore, remote monitoring capabilities may also prove highly valuable in improving patient care and protecting the safety of healthcare workers during times of infectious disease outbreaks such as from novel coronavirus 2019 (COVID-19). This proposed research will develop a context-appropriate mHealth tool linking continuous physiologic data obtained from a wearable device with a novel machine learning approach known as personalized physiologic analytics (PPA) run on a standard smartphone to provide clinicians with accurate assessments of sepsis severity and mortality risk in septic children admitted to the Dhaka Hospital of the International Centre for Diarrhoeal Disease Research, Bangladesh (icddr,b). Formative research among clinicians at icddr,b will be used to develop this mHealth tool incorporating the PPA algorithm with a clinical decision support and alert system for use by front-line clinicians. Finally, the tool's feasibility, usability, and accuracy for detection of sepsis severity and MODS will be validated in a new population of pediatric patients with sepsis. Knowledge gained from this study will greatly advance the evidence base for the use of mHealth tools and artificial intelligence techniques to help clinicians worldwide better care for critically ill children in LMIC settings earlier in the course of their disease, thereby reducing morbidity and mortality from sepsis. The results of this investigational research will be used to inform a multi-center clinical trial which would seek to assess the impact of using this mHealth tool on clinical outcomes as well as the cost-effectiveness of this tool. This tool may also provide an effective means of assessing patient responses to various therapeutic interventions via continuous physiologic monitoring in future clinical trials. The proposed initiatives will also build a base of technical and professional expertise at icddr,b in mHealth research capacity and user-centered design.",R21,TW,FIC,TW,National Institutes of Health (NIH),G,5,1,No,Awarded,10268409,R21TW012211,R21TW012211-01A1,12211,A1,,2021,1,1843,Josh,TRUE,TRUE,TRUE,,,,,,
